Tweet,Target 1,Stance 1,set
Where did you get that ?,abortion,NONE,train
In this case we may never do evil ( directly attack and kill a child via abortion ) so that good ( saving the life of the mother ) may result .,abortion,AGAINST,train
"The choice — the only actual choice , in the world as it really is — is between safe , legal abortion and dangerous , illegal abortion .",abortion,FAVOR,train
It is heartwarming to see a support structure for women being developed to counter the circumstances ( including poverty and the convenience of some males ) that prompt abortion .,abortion,NONE,train
It stood in marked contrast to the more primitive medical traditions that blurred the lines between killing and curing .,abortion,NONE,train
There is no third possibility .,abortion,NONE,train
"But I am glad I do n't live in a society with a "" you had sex , ( or were raped ) it 's your problem now , no matter how much you hate kids "" approach to parenthood .",abortion,FAVOR,train
"Many more studies of individual disorders among children ( ADHD , asthma , cystic fibrosis , Duchenne muscular dystrophy — the list goes on , and yes , it includes Down Syndrome ) consistently reveal poor mental health in their mothers compared to controls ( depression and anxiety are most commonly studied ) .",abortion,NONE,train
"We live in a world where “ post-birth abortion ” , the murder of newborns , is gaining popularity .",abortion,AGAINST,train
We have quotes from hospital documents that doctors told her her chance of dying was close to 100 % without the procedure .,abortion,FAVOR,train
It is my privilege to care for her each day . ”,abortion,NONE,train
What is abortion in each of these four cases ?,abortion,NONE,train
"And Mitt Romney is as strong as anybody on this issue , to seeing to an end to the Castro regime , and that ’s why I think Cuban Americans are very supportive of the Romney-Ryan ticket .",abortion,NONE,train
"There are dozens of birth control methods that can keep you from becoming pregnant , including the 100 percent effective one : abstinence .",abortion,AGAINST,train
Women who have their first pregnancy terminated have five times the chance of having ectopic pregnancies .,abortion,AGAINST,train
5 Liberty arguments focus less on these gendered biases and burdens on women .,abortion,NONE,train
Justice Samuel Alito is having none of it .,abortion,NONE,train
But I am not the cause of his death ; I have merely chosen not to save him .,abortion,NONE,train
"Tomasz Latos , a member of the governing Law and Justice party and head of the Health Committee in the Polish Sejm , or lower house of Parliament , said viewing the legislation as a threat to prenatal diagnostics was “ either an act of ill will or incompetence . ”",abortion,NONE,train
A mother ’s right to decide to not put her child through that kind of suffering is her right and her right alone .,abortion,FAVOR,train
"- By terminating a life , can we justify our acts ?",abortion,AGAINST,train
"Well , where are we now ?",abortion,NONE,train
"Once the skull is emptied , the intact fetus is removed from the woman ’s body .",abortion,NONE,train
is not that they are inadmissible but that they are always true .,abortion,NONE,train
An earlier version of the legislation was killed by a filibuster staged by state Sen. Wendy Davis ( D ) .,abortion,NONE,train
A woman can not sincerely be considered to have equal standing in society if she does not at least have the choice to remove the challenges that will come with a pregnancy .,abortion,FAVOR,train
I do n't think there 's any confusion ; personhood begins at conception .,abortion,AGAINST,train
I 'll start by saying that I do n't think Christians should be single-issue voters since Christ 's ministry was n't single-issue .,abortion,NONE,train
Abortion is unjust because the right to not be killed is more fundamental than the right to not be pregnant .,abortion,AGAINST,train
Which side is right ?,abortion,NONE,train
"If we know what an apple is , surely we know what a human being is .",abortion,NONE,train
Some people say that self-awareness makes one human .,abortion,NONE,train
Keep in mind that I do n’t use this illustration to mean that women are just “ baby-making machines . ”,abortion,NONE,train
"In "" The America We Deserve , "" Trump then wrote that he supported a woman 's right to choose .",abortion,FAVOR,train
"Degree of Dependency : If viability makes us human , then all those who depend on insulin or kidney medication are not valuable and we may kill them .",abortion,AGAINST,train
"Their stats also say there are 0.6 deaths per 100,000 abortions , when in reality there are 100,000.6 deaths per 100,000 abortions .",abortion,AGAINST,train
"I 've clearly stated that indirect abortion IS morally permissible in Church teaching , which is what inducing labor to remove the placenta would be ( regardless if it is pre - or post-viability ) .",abortion,FAVOR,train
"Pregnant woman automatically feel for the unborn baby , it is hard for women to go through an abortion and the responsibility falls on people to prevent pregnancy but there are people out there who take the risks and refuse responsibility but that does not mean everyone else should pay the price for it .",abortion,AGAINST,train
"In Gallup ’s data , the percentage of respondents who say a candidate must share their abortion views has fluctuated between 13 and 20 percent .",abortion,NONE,train
What is growing in the womb of the woman is alive .,abortion,AGAINST,train
There is no excuse for an abortion .,abortion,AGAINST,train
"Scientifically , we know that from the earliest stages of development , the unborn are distinct , living , and whole human beings .",abortion,AGAINST,train
"This is the only time I ’ve seen no measurable net decline in pro-choice sentiment , relative to pro-life sentiment , when the pool narrows to high-intensity respondents .",abortion,NONE,train
"And early abortion can be handled with pills , suction , and a variety of ways being explored , and it is uncommon for abortion of late developed babies .",abortion,FAVOR,train
But it becomes a different matter altogether if the connection between the two individuals seriously threatens the ordinary person 's life .,abortion,NONE,train
Almost all legislators who oppose abortion rights also support the death penalty .,abortion,NONE,train
"They use these words over and over , as if repeating them often enough will somehow make us all decide that an acorn is actually an oak tree and having a carton of eggs in the fridge is the same as owning a dozen chickens .",abortion,FAVOR,train
"In a contest between an adult with rights that have already attached , and a fetus whose status is ambiguous , the adult wins .",abortion,FAVOR,train
"They radically disagree about how to apply the principle that human life is valuable , but they both assume and appeal to that same principle .",abortion,NONE,train
